name,rating,address,status,latitude,longitude,province,type
Brentwood,7.6,"28 Heron Road   Sherwood Park, AB T8A 0H2",Public,53.518786,-113.28868,Alberta,Elementary
Monsignor William Irwin,7.6,"2629 Taylor Green NW   Edmonton, AB T6R 3N8",Separate,53.4476628,-113.575048,Alberta,Elementary
St. Dominic,7.6,"4820 Dalhart Road N.W.   Calgary, AB T3A 1C2",Separate,51.109514,-114.154623,Alberta,Elementary
Leduc Estates,7.6,"95 Alton Drive   Leduc, AB T9E 5K4",Public,53.2587882,-113.5809392,Alberta,Elementary
Breton,7.6,"P.O. Box 220   Breton, AB T0C 0P0",Public,53.1157689,-114.4670304,Alberta,Elementary
Varsity Acres,7.6,"4255 - 40 Street N.W.   Calgary, AB T3A 0H7",Public,51.0910433,-114.1477504,Alberta,Elementary
Ardrossan,7.6,"53131 Range Road 222   Ardrossan, AB T8E 2M8",Public,53.562811,-113.1472851,Alberta,Elementary
St. Thomas More,7.6,"6110 Temple Drive N.E.   Calgary, AB T1Y 5V4",Separate,51.0854309,-113.9456501,Alberta,Elementary
St. Henry,7.6,"7423 - 10 Street N.W.   Calgary, AB T2K 1H5",Separate,51.1176454,-114.0801882,Alberta,Elementary
CAPE,7.6,"830A Balmoral Street S.E.   Medicine Hat, AB T1A 0W9",Charter,50.0386707,-110.666951,Alberta,Elementary
Christina Gordon,7.6,"107 Brett Drive   Fort McMurray, AB T9K1V1",Public,56.7458999,-111.4620956,Alberta,Elementary
Coaldale Christian,7.6,"2008 - 8 Street   Coaldale, AB T1M 1L1",Private,49.727068,-112.600741,Alberta,Elementary
Forestburg,7.6,"4914 46th Ave.   Forestburg, AB T0B 1N0",Public,52.5806339,-112.0653062,Alberta,Elementary
Olds Koinonia,7.5,"P.O. Box 4039   Olds, AB T4H 1P7",Public,51.7916103,-114.1073736,Alberta,Elementary
St. Elizabeth Seton,7.5,"10845 Hidden Valley Drive   Calgary, AB T3A 6K3",Separate,51.150932,-114.110862,Alberta,Elementary
Spruce View,7.5,"P.O. Box 130   Spruce View, AB T0M 1V0",Public,52.0867685,-114.3125951,Alberta,Elementary
Keheewin,7.5,"1910 - 105 Street   Edmonton, AB T6J 5J8",Public,53.449803,-113.502399,Alberta,Elementary
Stirling,7.5,"P.O. Box 340   Stirling, AB T0K 2E0",Public,49.5013512,-112.522335,Alberta,Elementary
Edmonton Christian West,7.5,"14345 McQueen Road   Edmonton, AB T5N 3L5",Public,53.5555077,-113.5688892,Alberta,Elementary
Johnny Bright,7.5,"1331 Rutherford Road SW   Edmonton, AB T6W 1P4",Public,53.4192461,-113.5347247,Alberta,Elementary
Lakeland Ridge,7.5,"101 Crimson Drive   Sherwood Park, AB T8H 2P1",Public,53.553028,-113.27389,Alberta,Elementary
Blessed Sacrament,7.5,"1321 - 4 Avenue   Wainwright, AB T9W 2R7",Separate,52.8316485,-110.8517553,Alberta,Elementary
Westmount,7.5,"240 Westland Street   Okotoks, AB T1S 2J5",Public,50.7072036,-113.9799375,Alberta,Elementary
Parkview,7.5,"14313 - 92 Avenue   Edmonton, AB T5R 5B3",Public,53.5267122,-113.5682702,Alberta,Elementary
St. Augustine,7.5,"7112 - 7 Street S.W.   Calgary, AB T2V 1E9",Separate,50.9911332,-114.0814865,Alberta,Elementary
Darwell,7.5,"P.O. Box 140   Darwell, AB T0E 0L0",Public,53.6708768,-114.591089,Alberta,Elementary
St. Matthew,7.5,"416 - 83 Avenue S.E.   Calgary, AB T2H 1N3",Separate,50.9782049,-114.0573533,Alberta,Elementary
Hugh Sutherland,7.5,"R.R. 1   Carstairs, AB T0M 0N0",Public,51.564568,-114.1000722,Alberta,Elementary
St. Francis of Assisi,7.5,"3156 Hwy 552 East RR1  De Winton, AB T0L0X0",Separate,50.8486369,-114.0362773,Alberta,Elementary
St. Jerome,7.4,"11616 Panorama Hills Blvd NW   Calgary, AB T3K 5S3",Separate,51.1578067,-114.0791522,Alberta,Elementary
Langevin,7.4,"107 - 6A Street N.E.   Calgary, AB T2E 0B7",Public,51.0528153,-114.0478253,Alberta,Elementary
Banff Trail,7.4,"3232 Cochrane Road N.W.   Calgary, AB T2M 4J3",Public,51.0814083,-114.1168072,Alberta,Elementary
Michael A Kostek,7.4,"5303 - 190 Street   Edmonton, AB T6M 2L2",Public,53.4897769,-113.650303,Alberta,Elementary
University,7.4,"3035 Utah Drive N.W.   Calgary, AB T2N 3Z9",Public,51.0697921,-114.1332869,Alberta,Elementary
Living Waters,7.4,"5 Grove Drive W.   Spruce Grove, AB T7X 3X8",Private,53.5582561,-113.9389825,Alberta,Elementary
Almadina,7.4,"#118 3132 26 Street NE   Calgary, AB T1Y 6Z1",Charter,51.0798105,-113.9965945,Alberta,Elementary
Sister Annata Brockman,7.4,"355 Hemmingway Road NW   Edmonton, AB T6M 0L7",Separate,53.4910585,-113.6829615,Alberta,Elementary
Monsignor E. L. Doyle,7.4,"8887 Scurfield Drive NW   Calgary, AB T3L 1H6",Separate,51.1219132,-114.2163507,Alberta,Elementary
St. Mary's,7.4,"42 Cimarron Trail   Okotoks, AB T1S 2A8",Separate,50.709643,-113.965457,Alberta,Elementary
Vanier,7.4,"831 - 56 Street   Edson, AB T7E 1S6",Separate,53.5844552,-116.4450401,Alberta,Elementary
Heritage Heights,7.4,"3156 Hwy 552E, R.R.1   De Winton, AB T0L 0X0",Public,50.798307,-114.0757155,Alberta,Elementary
Covenant Christian,7.4,"P.O. Box 3827 Station Main   Leduc, AB T9E 6M7",Public,53.2643206,-113.5492538,Alberta,Elementary
Coalhurst,7.4,"P.O. Box 980   Coalhurst, AB T0L 0V0",Public,49.7453222,-112.9363604,Alberta,Elementary
St. Teresa,7.4,"11350 - 25 Avenue   Edmonton, AB T6J 5B1",Separate,53.458589,-113.5282389,Alberta,Elementary
Chinook Park,7.4,"1312 - 75 Avenue S.W.   Calgary, AB T2V 0S6",Public,50.986022,-114.090099,Alberta,Elementary
St. Thomas Aquinas,7.4,"P.O. Box 390   Provost, AB T0B 3S0",Separate,52.3899479,-110.2976012,Alberta,Elementary
Taber Christian,7.4,"4809 - 60 Avenue   Taber, AB T1G 1E9",Public,49.7966989,-112.1534507,Alberta,Elementary
Malcolm Tweddle,7.4,"2340 Millbourne Road W.   Edmonton, AB T6K 1Y9",Public,53.4773288,-113.4576637,Alberta,Elementary
Clive,7.4,"5016 52 Ave   Clive, AB T0C 0Y0",Public,52.4775758,-113.4516618,Alberta,Elementary
Holy Spirit Academy,7.4,"4 - 21 Street S.E.   High River, AB T1V 2A1",Separate,50.581496,-113.832321,Alberta,Elementary
Nellie Carlson,7.4,"4110 MacTaggart Drive NW   Edmonton, AB T6R0P7",Public,53.4421242,-113.5570317,Alberta,Elementary
Roberta MacAdams,7.4,"2099 Blackmud Creek Drive SW   Edmonton, AB T6W 1T7",Public,53.4204737,-113.5156161,Alberta,Elementary
Timberlea,7.4,"107 Brett Drive   Fort McMurray, AB T9K 1V1",Public,56.7458999,-111.4620956,Alberta,Elementary
Neil M Ross,7.3,"60 Woodlands Road   St. Albert, AB T8N 3X3",Separate,53.646687,-113.602578,Alberta,Elementary
Fultonvale,7.3,"52029 Range Road 224   Sherwood Park, AB T8C 1B5",Public,53.4599354,-113.1922845,Alberta,Elementary
St. Basil,7.3,"919 Tuscany Drive NW   Calgary, AB T3L 2N8",Separate,51.119005,-114.250171,Alberta,Elementary
Notre-Dame,7.3,"15425 - 91 Avenue   Edmonton, AB T5R 4Z7",Francophone,53.524624,-113.5879913,Alberta,Elementary
Keenooshayo,7.3,"40 Woodlands Road   St. Albert, AB T8N 3X3",Public,53.647809,-113.601635,Alberta,Elementary
Fort Saskatchewan Christian,7.3,"9935 - 93 Avenue   Fort Saskatchewan, AB T8L 1N5",Public,53.7005131,-113.2124247,Alberta,Elementary
Prince of Wales,7.3,"253 Parkland Way S.E.   Calgary, AB T2J 3Y9",Public,50.9247918,-114.0333105,Alberta,Elementary
Brander Gardens,7.3,"14865 - 56 Avenue   Edmonton, AB T6H 5G2",Public,53.493484,-113.577079,Alberta,Elementary
Rutherford,7.3,"8620 - 91 Street   Edmonton, AB T6C 3N2",Public,53.5222906,-113.4687339,Alberta,Elementary
Condor,7.3,"General Delivery   Condor, AB T0M 0P0",Public,52.307121,-114.5319091,Alberta,Elementary
Hazeldean,7.3,"6715 - 97 Street   Edmonton, AB T6E 3J9",Public,53.504194,-113.47867,Alberta,Elementary
Scott Robertson,7.3,"13515 - 107 Street   Edmonton, AB T5E 4W3",Public,53.5967199,-113.5043156,Alberta,Elementary
Ministik,7.3,"21246 Highway 14   Sherwood Park, AB T8G 1G1",Public,53.3964573,-113.0136889,Alberta,Elementary
Nellie McClung,7.2,"2315 Palliser Drive S.W.   Calgary, AB T2V 3S4",Public,50.9684867,-114.1131956,Alberta,Elementary
St. Mary,7.2,"490 Rhatigan Road E.   Edmonton, AB T6R 2E2",Separate,53.4755417,-113.5854464,Alberta,Elementary
Olympic Heights,7.2,"875 Strathcona Drive S.W.   Calgary, AB T3H 2Z7",Public,51.0463107,-114.1806028,Alberta,Elementary
Crestwood,7.2,"9735 - 144 Street   Edmonton, AB T5N 2T3",Public,53.533927,-113.57109,Alberta,Elementary
New Norway,7.2,"P.O. Box 69   New Norway, AB T0B 3L0",Public,52.8719888,-112.9519026,Alberta,Elementary
Caledonia Park,7.2,"3206 Coady Boulevard   Leduc, AB T9E 7J8",Public,53.245069,-113.526022,Alberta,Elementary
McKernan,7.2,"11330 - 76 Avenue   Edmonton, AB T6G 0K1",Public,53.512963,-113.5247941,Alberta,Elementary
Monsignor J. J. O'Brien,7.2,"99 Bridlewood Road SW   Calgary, AB T2Y 4J5",Separate,50.9022059,-114.1044961,Alberta,Elementary
Pine Street,7.2,"133 Pine Street   Sherwood Park, AB T8A 1H2",Public,53.520636,-113.301865,Alberta,Elementary
